Customer_ID,Age,Region,Product_Category,Units_Sold,Unit_Price,Advertising_Spend,Revenue
1001,25,North,Electronics,5,200,150,1000
1002,34,South,Clothing,12,50,100,600
1003,42,East,Electronics,8,175,250,1400
1004,29,West,Home,15,80,180,1200
1005,51,North,Clothing,20,45,200,900
1006,37,South,Electronics,10,220,300,2200
1007,26,East,Home,7,100,120,700
1008,45,West,Electronics,14,190,350,2660
1009,31,North,Home,9,95,160,855
1010,39,South,Clothing,18,55,220,990
1011,48,East,Electronics,11,210,280,2310
1012,27,West,Home,13,85,175,1105
1013,36,North,Electronics,6,250,275,1500
1014,44,South,Home,16,90,210,1440
1015,30,East,Clothing,22,40,190,880
1016,53,West,Electronics,9,230,320,2070
1017,28,North,Home,11,75,140,825
1018,41,South,Electronics,13,185,290,2405
1019,35,East,Home,10,110,200,1100
1020,47,West,Clothing,17,60,230,1020
